alpha,2,3,4,5,6,7,8,9,10
0.5,0.1472,0.1591,0.1539,0.1473,0.141,0.1354,0.1303,0.1258,0.1217
0.25,0.6266,0.5421,0.4818,0.4382,0.4048,0.3782,0.3563,0.3379,0.3221
0.1,1.0539,0.8836,0.7744,0.6978,0.6403,0.5951,0.5583,0.5276,0.5016
0.05,1.3076,1.0868,0.9486,0.8525,0.7808,0.7246,0.679,0.6411,0.6089
0.025,1.5266,1.2626,1.0995,0.9866,0.9026,0.8369,0.7838,0.7396,0.7022
0.01,1.7804,1.4666,1.2747,1.1425,1.0443,0.9678,0.9059,0.8545,0.811
0.005,1.9528,1.6054,1.3941,1.2488,1.1411,1.0571,0.9893,0.933,0.8854
0.0025,2.1123,1.7341,1.5049,1.3475,1.2309,1.1401,1.0668,1.0061,0.9546
0.001,2.3076,1.8919,1.6408,1.4687,1.3413,1.2422,1.1622,1.0959,1.0397
0.0005,2.4457,2.0035,1.7371,1.5546,1.4196,1.3145,1.2298,1.1596,1.1002
0.00025,2.5768,2.1097,1.8287,1.6363,1.4941,1.3835,1.2943,1.2203,1.1578
0.0001,2.7411,2.2429,1.9436,1.739,1.5877,1.4701,1.3752,1.2966,1.2301
0.00005,2.8595,2.3389,2.0266,1.813,1.6553,1.5326,1.4337,1.3517,1.2824
0.000025,2.9734,2.4313,2.1065,1.8844,1.7204,1.5928,1.49,1.4048,1.3327
0.00001,3.1179,2.5487,2.2079,1.9751,1.8031,1.6694,1.5616,1.4723,1.3968
